Hotel Name,Title,Text,Date,Rating,Traveller Type
San Francisco City Center Hostel,Best hostel I've ever stayed in,"This place is just gorgeous - the decor, the bar/Breakfast area, the communal areas, the antique elevator - and the beds are extremely comfortable and well furnished with light and usb ports. Extremely nice staff and a very well-equipped kitchen area. The only thing I will say, and it's totally not the hostel's fault, but the area it's in is awful - dirty and over run with homeless. It's heartbreaking and I hope that San Francisco can come to terms with these challenges soon. However, the hostel does extremely well to make its guests feel secure and safe.",5/19/2019,5,Friends
San Francisco City Center Hostel,Great Hostel - just note location,"Hostel itself is great, clean rooms, friendly staff and a cool vibe. We felt sorry for the staff/owners as the hostel itself is perfect, you just have to beware of the location and that isn’t their fault at all. Our twin room was large and clean, breakfast was great and the dollar pancakes are a steal. There’s a large common area with plenty of couches and seperate seating areas.

The area attracts a lot of homeless people and junkies, who line both sides of the street at night. Being a larger male, I’m not really worried about them but my girlfriend did not feel safe walking in the evening/after dark so we took a lot of Ubers. We also come from a very safe/small city without a huge homeless population so if you are from a larger city you will probably feel more comfortable. Regretfully we ended up using the refunding night policy as we wanted to move closer to union square and walk in the evenings. The staff are also very good with security at night so there is no risk inside the hostel/directly out front. We also didn’t have any issues with the noise as mentioned by other reviewers, it was quiet in our room and we had no trouble sleeping.

If you are a traveler who is comfortable with dealing with homeless people at night, this hostel will be great but if you have reservations about it you would be best to look at a different area of town, or be prepared to pay for ride share services. Although everywhere in town will have issues with the homeless population.",5/19/2019,4,Couple
San Francisco City Center Hostel,Terrible Location ,"The private room was clean and check-in was easy, but the location is terrible. Worst street in SF. We truly felt unsafe and the front desk even told us not to walk around at night. Homeless people lined the streets with visible drug use and we even found a syringe on the floor as we stepped out in the am. It was therefor surprising the room did not have a deadlock on it. Could not recommend",5/19/2019,2,Friends
San Francisco City Center Hostel,Budget stay at a very good location,"The hostel is very nice..I stayed in a shared accommodation. Bed was comfortable and the toilet was clean. Breakfast was good. The staff members are very helpful. The decor has a taste of global spirituality. The location is also very good. The neighborhood, specially in the late night feels unsafe because of a large gang of vagabonds who seem to converge at this place post evening but they did not disturb me. A perfect place to stay if you are on a limited budget.",4/19/2019,4,Solo
San Francisco City Center Hostel,"
Very eclectic and comfortable.","This place is so cool! Very spiritual property and so comfortable! Handicap accessible room worked perfect! I loved the $1 eggs and pancakes too! Several homeless people in this area, but they don’t bother you. Grocery store a few feet away so you can cook your own meals in the super clean kitchen. Most staff friendly like Sean, and Loved the manager! Carpet on floors in rooms needs replacing badly.",2/19/2019,5,Family
San Francisco City Center Hostel,Great hostellar... location should be treated with care and respect,"Easy to find .. friendly welcome and easy check-in... stayed two nights ... double room ..clean, very comfy bed (might have been my first memory mattress experience!) good sized room heated via a very efficient old school type radiator, centrally controlled .. continental style breakfast included with the additional choices of either 4 cooked eggs or pancakes for $1 ... excellent idea.Lounge comfortable and relaxing based on a Gothic /Mexican Night of the Dead theme .. it works well. An old building which has been revamped but has retained it's old style effective gated lift .. nice touch.
Hostel is located on edge of Tenderloin district which has highest number of homeless people in America .. I walked everywhere during daytime (have developed somo wrestlers' thighs after those hills) and wasn't hassled or 'begged' once .. I did receive one of the most beautiful smiles I've had for a long time after making eye contact and smiling at a street person. Treat people with respect; smile when eye contact is made and acknowledge their presence; you shouldn't be using your phone on the streets anyway nor flashing your wealth. The location is only thing that stops me awarding an excellent.",1/19/2019,4,Solo
San Francisco City Center Hostel,Nice hostel,"I found the hostel very nice, the beds were comfy and the showers worked well. Breakfasts were really good bagels were basically your only option or for $1 you could get 4 eggs or some pancakes which is an absolute deal. The kitchen was ok it would be good if there was some more surfaces to prepare food as when a few people are cooking there is not much room. The lift was uncool with the old style sliding door. The area has lots of homeless people and some people found the area rough but personally I never had a problem. The people at the desk were fine. I found the location was find if you were willing to walk for public transport, about 10 mins to bart and cable car start etc.",1/19/2019,4,Solo
San Francisco City Center Hostel,Great place in a very rough neighborhood,"THE GOOD - Helpful friendly staff, clean cozy rooms, free breakfast and a terrific $ 1 breakfast deal (4 eggs or pancakes or any combo thereof), generous public areas with nooks galore, books and games to loan, low cost in-house beer and wine “pub” (only open at night).
THE BAD - the neighborhood is pretty rough. Last part of San Francisco with sub-stratospheric lodging costs, the sidewalks of the Tenderloin are clogged with winos, crazies and junkies as well as garden-variety homeless. The front desk hands out foam earplugs. Get some.
THE FIX - Uber in and out if you’re female, watch your step on the street whoever you are, don’t walk up or down Golden Gate Street or Ellis more than absolutely necessary. Staying here is good value for the $ and walk two blocks up to Geary for a different (and safer) vibe. Whatever you do, avoid the 100 - 500 blocks of Ellis - that stretch of road is is as bad as I have ever seen",1/19/2019,4,Business
San Francisco City Center Hostel,Great Hostel!,"Staying at the City Center Hostel has been great! The hostel has so many common areas for sitting on your own and reading a book-- or joining other travellers and making new friends. It is very quiet in the rooms and we even had our own very clean bathroom in a four bed dorm. The beds are very comfortable which is great after a busy day of sightseeing. The location of the hostel made for great excursions within walking distance--Fishermans Wharf, Chinatown, Haight -Ashbury, Mission District and the Golden Gate Park were all within easy walking distance. The Golden Gate Bridge is a little farther but the walk is worth it if you take the trail along the beach. Staff were very helpful, there is a bar on site, breakfast, and coffee/tea all day. The kitchen area is huge-lots of room to cook or store your food. Thanks for the great stay",12/18/2019,5,Solo
San Francisco City Center Hostel,Exceeded my expectations,"This hostel is an attraction on its own - the common areas are beautifully decorated with local art, each room representing one of San Francisco's bohemian neighbourhoods. They also have a bar serving local beer for affordable price, which is a great place to meet with other travellers in the hostel. Will definitely come back!",12/18/2019,5,Couple
