Title,Text
Decent hostel in a good location ,"We thought the hostel was good and would stay here again. Comfortable rooms and the under bed storage lockers fit extra large bags. Rooms were clean and there was a big mirror for getting ready in the room. The hostel has activities you can join in on, although they donâ€™t alwaysâ€¦"
"Booked last minute, no regrets","I just want to write a quick review. I had to book this last minute (I found it on AirBnB) and I'm really pleased. It's in what used to be an old hotel. There's a big common area to hang out and play music. Good wifi, warm showers. Friendly staff. It's really the best hostelâ€¦"
One of the best hostels I have stayed at!,"We were two travelling so we got a private room with bunk-beds. The room was clean, the bedsheet were clean and the matresses were awesome to sleep on! Perfect night sleep!  The room was a bit hot and humid, opening the window fixed that. It was better to close the window forâ€¦"
Our first ever hostel experience!,"My boyfriend and I booked a trip on the Green Tortoise bus trip for 10 days and needed accommodation both they day before and after the trip. So, we looked no further than the same company and booked.   We booked a shared double-bed room both nights. This was an unusualâ€¦"
Best. Hostel. Ever.,I love the Green Tortoise! I recently stayed at this hostel during my weeklong adventure In San Francisco. In a word.... STUPENDOUS! The staff (aka Tortoises <3) are welcoming and warm! Daily activities and community dinner on Monday/Wednesday/Friday - Be sure to volunteer!  Theâ€¦
Green tortoise is my favourite place to stay in San Francisco!,"I've been here three times.  Once in 2014, once in 2015, and once more in 2018.  Good times were had each time.  They really are delightful, very social and friendly, and very clean.  People from all over the world stay here.  They have many options for stays that includeâ€¦"
Excellent funky space - with an awesome dining/ entertainment room.,"A basic room, but clean, enough space & not far from the nearest showers/ bathrooms. We only stayed one night & fortunately it was a monday - so free dinner (where everyone helps to contribute), so a good chance to meet others & enjoy good fresh food!"
Your spot in San Francisco you don't want to leave,"This was really nice hostel: the athmosphere was nice, there are organized events everyday, three times a week they host a delicious vegetarian dinner & give away free snacks. Best things there are still the musical instruments to use and play with your friends or people who youâ€¦"
Great Hostel,"This is the second time we have stayed here, and I would stay again. We loved the friendly atmosphere here and the evenings where you could volunteer to help in the kitchen to cook for everyone in the hostel. Itâ€™s in a great location and in walking distance (15 mins) down to theâ€¦"
Pricey and very small ,"The rooms in the hostel are very small and it is better when you donâ€˜t bring a lot of luggage to store with you. No chance to move freely in the room without disturbing the other people in the room. Also, the floor hasnâ€˜t been cleaned once (we stayed 5 nights).Therefore, bringâ€¦"
Great facilities and fun activities!,"Good hostel, a great common room with ping pong- and pool table and a big kitchen! They also have a sauna and very fun activities (e/a beer pong turnements and pub-crawls, both for those who stays at the hostel and in other places!  Fair warning though, there's a lot of stairs!"
Extremely welcoming,"You need to know what to expect, but at half the price of hotels in the area, the Green Tortoise is a great option. The rooms are small, but clean; the shared bathrooms likewise.  All of the staff were extremely welcoming and attentive. There's a free breakfast every morning,â€¦"
Hostel,Excellent place to stay! Great friendly and helpful staff. Good community feel with lots of areas to socialize and get to know other travelers. Good cost for the city. Would stay here again for sure.!!
Great place to store luggage $5 per piece,"Great place to store luggage $5 per piece - Took a cruise. Needed a palce to store my luggage. This place was great, luggage was locked up. Can store it 24 hours a day. Some of the other places only offer limited availability. For example the cruise terminal only stores tillâ€¦"
Everything a hostel should be,"Green Tortoise was great. Everything a hostel should be. Hotel taxes, etc. make San Francisco not the cheapest city for hostels. GT makes up for it with the free massive breakfast, the weekday free dinners and general good+safe vibes. I also liked that the clientele wasn't allâ€¦"
Looking to save money....and have fun,"The green tortoise was a great choice by my friend. There are a few hostels in SF but this one was perfect. Nice location for a bunch of attractions (trolley tracks are a few blocks away, the piers are a few blocks away, financial district is a few blocks away, â€œLombard streetâ€â€¦"
Great feel. Very welcoming.,Fantastic start to our trip in San Francisco. There is a very welcoming feel about the place and a sense of community. Breakfast and dinner were great too. Reception staff are super helpful. Would definitely come back.
Pleasantly Surprised!,"Never staying in a hostel before, I had my doubts.  I envisioned the shared bathrooms to have several toilets and showers and no privacy.  I expected (at least) slightly dirty conditions and run-down rooms.  Not!  The restrooms are private, each having its own toilet, sink andâ€¦"
Location could be better.,"I don't know why everyone is saying the location is that great, because it isn't. I counted at least 4 strip clubs just walking to the hostel from the main road, the hostel is also not near any transport station in particular.  Bathrooms were quite acceptable, with some beingâ€¦"
"Great Location, Fun Building and Amazing Staff!","Get prepared for some stairs!  The hostel offers a great number of amenities including a sauna, breakfast and shared dinners on some nights.  We had a private room which was larger than expected and there was a sink in there as well which was helpful.  There are multipleâ€¦"
Really great service!,The shared and free breakfasts and dinners were a super lovely surprise and was a nice way to meet the other travellers! I felt super comfortable and at ease. Location was also central and accessible. I didn't realise I had left an item behind and the staff were very helpful inâ€¦
Green Tortoise Rocks,"If you're the type of traveller that likes boring, stereotype, cookie cutter venues then the Green Tortoise is NOT for you. But if you want a memorable stay in a fun place, friendly staff, and mixing with people from all around the world, then consider this venue. The money youâ€¦"
