Solo,Title,Text
1,A very social and active hostel,"I booked the Green Tortoise Hostel for a one-night stay for $47. It’s best to book on their website as not all travel sites have access to their full inventory. The place is a very social & party headquarters, so this may not be the best selection for those expecting to get…"
,Decent hostel in a good location ,"We thought the hostel was good and would stay here again. Comfortable rooms and the under bed storage lockers fit extra large bags. Rooms were clean and there was a big mirror for getting ready in the room. The hostel has activities you can join in on, although they don’t always…"
1,Best of Location with good management ,Stayed at this place in Feb 2019. Really liked location. Very nearby from Chinatown and Fisherman’s wharf. Close to most party places.  Staff is great and helpful. Any questions you have just ask on front desk. Liked the idea of san Francisco landmarks and instructions to reach…
1,Super friendly hostel,I stayed at Green Tortoise for four days.  I chose a hostel as I was travelling solo after a long time and wanted people around me. As a working professional I also wanted a place where I could work or use the computer if I wanted to.  Green Tortoise was the perfect choice. The…
,"Booked last minute, no regrets","I just want to write a quick review. I had to book this last minute (I found it on AirBnB) and I'm really pleased. It's in what used to be an old hotel. There's a big common area to hang out and play music. Good wifi, warm showers. Friendly staff. It's really the best hostel…"
,One of the best hostels I have stayed at!,"We were two travelling so we got a private room with bunk-beds. The room was clean, the bedsheet were clean and the matresses were awesome to sleep on! Perfect night sleep!  The room was a bit hot and humid, opening the window fixed that. It was better to close the window for…"
,Our first ever hostel experience!,"My boyfriend and I booked a trip on the Green Tortoise bus trip for 10 days and needed accommodation both they day before and after the trip. So, we looked no further than the same company and booked.   We booked a shared double-bed room both nights. This was an unusual…"
,Best. Hostel. Ever.,I love the Green Tortoise! I recently stayed at this hostel during my weeklong adventure In San Francisco. In a word.... STUPENDOUS! The staff (aka Tortoises <3) are welcoming and warm! Daily activities and community dinner on Monday/Wednesday/Friday - Be sure to volunteer!  The…
1,Best hostel I have ever stayed at!,"The staff is incredibly friendly and helpful, charming dinining hall, a lot of great events are organized including cooking dinner every other night! I felt like I was part of one huge family. Fantastic vibes!"
1,One of the biggest hostels I've ever stayed in!,"I've typically stayed in hostels in Europe and Asia, not so much in the states. But this is a great option if you're looking to save some cash on sleeping in San Francisco. The amenities are good, clean, and the dining hall is incredible. The only small negative comment I would…"
,Green tortoise is my favourite place to stay in San Francisco!,"I've been here three times.  Once in 2014, once in 2015, and once more in 2018.  Good times were had each time.  They really are delightful, very social and friendly, and very clean.  People from all over the world stay here.  They have many options for stays that include…"
1,Mixed Review,"The main hostel itself runs good events and is kept clean. Unfortunately I was situated in rooms a block away in a separate building they own. The security was appalling as a man who was not staying at the hostel was allowed to sleep in the kitchen, he smoked drugs all night and…"
1,Good place,"Stayed only for a couple of days and was out exploring the city for most of the time. The private rooms were good with bathrooms near by. Good spacious dining rooms and events were organized later in the evenings. I could not join the events as I was out. Union square,…"
,Excellent funky space - with an awesome dining/ entertainment room.,"A basic room, but clean, enough space & not far from the nearest showers/ bathrooms. We only stayed one night & fortunately it was a monday - so free dinner (where everyone helps to contribute), so a good chance to meet others & enjoy good fresh food!"
,Your spot in San Francisco you don't want to leave,"This was really nice hostel: the athmosphere was nice, there are organized events everyday, three times a week they host a delicious vegetarian dinner & give away free snacks. Best things there are still the musical instruments to use and play with your friends or people who you…"
1,Positive Vibes,"The staff here is amazing!!  They had an answer to every question, provided everything I needed, and the chef was great!!!  Felt like home even though I was 3,000 mikes away from home.  I will definitely be staying here when I return to San Francisco!!"
1,This hostel really upscales your stay in San Francisco,"In this hostel, you will see a lot of super-happy travelers - and this has a good, a very good reason: Green Tortoise Hostel!!  Staff: friendly, helpful, funny, attentive - just GREAT!!  Rooms: comfortable beds, enough space for your luggage, bathrooms always clean  Amenities:…"
1,Riding the Tortoise: Round II,"I frequently fly between South Korea and Reno, Nevada and use the Green Tortoise a stop over between Baghdad by the bay and The Biggest Little City in the World. I serves admirably as a place to rest my head as I pass through San Francisco. The staff is friendly and service…"
,Great Hostel,"This is the second time we have stayed here, and I would stay again. We loved the friendly atmosphere here and the evenings where you could volunteer to help in the kitchen to cook for everyone in the hostel. It’s in a great location and in walking distance (15 mins) down to the…"
