Title,Text
A very social and active hostel,"I booked the Green Tortoise Hostel for a one-night stay for $47. Itâ€™s best to book on their website as not all travel sites have access to their full inventory. The place is a very social & party headquarters, so this may not be the best selection for those expecting to getâ€¦"
Best of Location with good management ,Stayed at this place in Feb 2019. Really liked location. Very nearby from Chinatown and Fishermanâ€™s wharf. Close to most party places.  Staff is great and helpful. Any questions you have just ask on front desk. Liked the idea of san Francisco landmarks and instructions to reachâ€¦
Super friendly hostel,I stayed at Green Tortoise for four days.  I chose a hostel as I was travelling solo after a long time and wanted people around me. As a working professional I also wanted a place where I could work or use the computer if I wanted to.  Green Tortoise was the perfect choice. Theâ€¦
Best hostel I have ever stayed at!,"The staff is incredibly friendly and helpful, charming dinining hall, a lot of great events are organized including cooking dinner every other night! I felt like I was part of one huge family. Fantastic vibes!"
One of the biggest hostels I've ever stayed in!,"I've typically stayed in hostels in Europe and Asia, not so much in the states. But this is a great option if you're looking to save some cash on sleeping in San Francisco. The amenities are good, clean, and the dining hall is incredible. The only small negative comment I wouldâ€¦"
Mixed Review,"The main hostel itself runs good events and is kept clean. Unfortunately I was situated in rooms a block away in a separate building they own. The security was appalling as a man who was not staying at the hostel was allowed to sleep in the kitchen, he smoked drugs all night andâ€¦"
Good place,"Stayed only for a couple of days and was out exploring the city for most of the time. The private rooms were good with bathrooms near by. Good spacious dining rooms and events were organized later in the evenings. I could not join the events as I was out. Union square,â€¦"
Positive Vibes,"The staff here is amazing!!  They had an answer to every question, provided everything I needed, and the chef was great!!!  Felt like home even though I was 3,000 mikes away from home.  I will definitely be staying here when I return to San Francisco!!"
This hostel really upscales your stay in San Francisco,"In this hostel, you will see a lot of super-happy travelers - and this has a good, a very good reason: Green Tortoise Hostel!!  Staff: friendly, helpful, funny, attentive - just GREAT!!  Rooms: comfortable beds, enough space for your luggage, bathrooms always clean  Amenities:â€¦"
Riding the Tortoise: Round II,"I frequently fly between South Korea and Reno, Nevada and use the Green Tortoise a stop over between Baghdad by the bay and The Biggest Little City in the World. I serves admirably as a place to rest my head as I pass through San Francisco. The staff is friendly and serviceâ€¦"
Excellent value!,"I've been 5 nights in a 4-beds room in October 2018 Rooms were clean enough (not spotless to be honest, but enough for an hostel), single hared bathrooms with shower and/or sink and wc.  The offer free basic breakfast, three free dinner per week and a lot of entertainment eachâ€¦"
Good place to stay,"It's a nice little place to stay short-term. The service was excellent, and staff were friendly. The bathrooms were clean. But in my opinion, what really makes or break your experience here is the people that you end up sharing a room with. There can be some sketchy individualsâ€¦"
My favourite hostel,"The Green Tortoise is my favourite hostel I have ever stayed in. The atmosphere is great and the reception staff are incredibly helpful - no matter what the question!  They have complimentary breakfast every day of bagels with cream cheese, jelly (aka jam in my world!) andâ€¦"
Best hostel!,Stayed here for 5 days and can honestly say this was one of the best hostels Iâ€™ve ever stayed at. Great location - the hostel itself is on a slightly dodgy street but very close to Chinatown and North Beach. There were lockers in the rooms to store your things safely and theâ€¦
A nice experience!!,The hostel is really well equipped and located. The staff very friendly and the rooms clean. It's a good occasion to met unique and amazing people from all around the world. I really recommend this place!!
Love this hostel!,"This is exactly what you expect and pay for! Great service, good vibe, friendly staff. Clean and comfortable! Good location! Rooms are very basic, bathrooms are communal but clean.  Has a certain charm about it. Downside - the steps ! No lift. but its all part of the experience!"
Just ok.,"I have stayed in so many hostels in U.S. and other countries and this is the first one that I have unpleasant memories. My bedroom (shared, 4 beds) had a strong stuffy smell. Getting back to the hostel at night very tired, ready to sleep and smelling that was not good at all.â€¦"
Excellent!,"Brilliant customer service and super friendly staff- not over the top but there when you need them. Excellent communal room which is massive so thereâ€™s enough space to sit on your own which I like to do. Breakfast consisted of bagels, jam, marmalade, peanut butter, butter, creamâ€¦"
Amazing location and price,"Had an emergency and needed somewhere to stay. Booked online without a hitch, and had a roof over my head for a great price. Rooms were secure and clean. Beds had curtains, fans, and storage. Bathrooms were wet, dirty, and usually full, so pack your patience. Kitchen was greatâ€¦"
Good free breakfast choice,"Stayed here for a week.. a week too long! Not a bad location, good choice of free breakfast and free hot drinks all day.   Dodgy looking carpets could do with an update.  Really high bunk beds, almost fell off coming down!  Big good size kitchen but the down side was that thereâ€¦"
Miss this one and you will be green with envy,"So, I am a wrinkly old coot of 63; the sort one just doesn't see that often in a hostel. I found the staff to be enthusiastic and efficient. They are accomplished in the art of banter and laughed at my jokes---this always earns a couple of extra stars. The facility is clean andâ€¦"
Awesome Hostel ,I am a solo female traveler  This hostel is in a great location. It has old school charm. Helpful staff and great breaky and facilities. I'd stay again. Thanks lots!  They have connections with things to do and places to see with helpful maps and guides that you can access. Iâ€¦
Friendly staffed hostel,"I had booked a private room. For the price you pay for a centrally located hostel in comparison with normal hotels it is a okay deal. Very friendly and accomodating staff, had good tips of where to go and how to get there. They are interested in how you are and how your day was.â€¦"
Friendly staff and clean comfortable beds.,"I had a wonderful time staying in Green Tortoise hostel. I booked an all-girls dorm room and got the lower bunk bed(I had requested for the same prior to coming to SF). They had good breakfast options, with bagels (choice of spread- cheese/butter/peanut butter), juices, milk,â€¦"
Convenient with friendly staff and atmosphere,"Very central location, near little Italy, China Town, and Fisherman's Wharf. Clean room, bed, and good showers (bring your own towel). Has facility to store your luggages when you check out or you need to stash it overnight. Will definitely stay again."
"Good Karma, Value Experience","Clean.  Helpful staff.  Friendly Guests.  Great environment.  Shared bathrooms seldom all booked at once.    Solid general location near great Italy area of town and great little restaurants - if gentlemenâ€™s clubs on street of Hotel do not flummox.   Felt safe.  Solid value,â€¦"
The best hostel I have stayed in!,"I had the best time at the Green Tortoise. Everything about this place was great. I was traveling on my own, the front desk staff are super friendly and happy to answer any questions and made me feel very comfortable. I ended up extending my stay by an extra 3 days because itâ€¦"
