Title,Text
Simply the best 👏👏👏👏👏,"Quite simply this is the best hotel I’ve ever stayed in! Fantastic location, lovely rooms, a beautiful garden out the back, and wonderful wonderful staff; everyone was so welcoming and friendly and very good for local tips - all of which were fantastic! Special thanks to Shana…"
Friendly and personal hospitality,"The Metro Hotel is a lovely, independent boutique hotel in a local neighbourhood full of great charm, cafes and restaurants.  This is great alternative to the hotels downtown; the buses that run right outside on Divisadero made it a convenient location to reach many different…"
Our 'Go To' hotel whenever we visit San Francisco.,"We have stayed at The Metro Hotel  over the past five years whenever we have visited family in San Francisco.  It is our 'go to' hotel because we feel safe, the rooms are spotlessly clean, very reasonably priced, and the staff is personable, friendly, helpful and accommodating. …"
Wonderful,We stayed here 2 nights and thoroughly enjoyed our stay. All staff were very friendly and knowledgeable and offered us the use of a kettle to make tea. The Grind was a lovely local diner for breakfast and the Haight area brilliant. Lots of local small shops. Fascinating area.…
Recommended,"This is a very good hotel in a great location.  The staff were very friendly and helpful and the room itself was spotless.  As breakfast wasn't an option, a coffee machine would have been a nice touch, but that is a minor gripe.  It was both a great place base for exploring San…"
"Lovely visit - friendly staff, room a little small. ","It was a lovely little hotel, and the staff were super friendly.  Room was a little small, but we did see larger rooms so might be a good idea to request a big room when booking.    Good location, right next to Haight St, I think it was about a 20 min walk or so into the city. …"
Great staff,"My husband and I stayed here during a consultation appointment at UCSF. The staff was WONDERFUL. They recommended places to eat that were affordable, remembered when we had to be at the hospital and just overall seemed to care that our stay was comfortable. I overhead them…"
Perfect for sight seeing,"I stayed here recently with sister while on a vacation. It's a cute minimal place to stay. The staff were helpful and friendly and it's very centrally located. Lots of interesting coffee shops, places to eat and it was a perfect location for walking the city. I would definitely…"
Great alternative to chain hotels,"As others have said,this is not an Uber smart hotel and our room(114) was not big but everything was very clean and comfortable, particularly the bed. The staff could not be more friendly and helpful, whatever time of the day. We loved the location, close to the 1960s hippy…"
I would highly recommend this quaint hotel for a short stay in San Fran,"For the price paid, I would highly recommend this quaint little hotel for a short stay in San Fran. It is situated a very convenient 30 minutes away from most tourist spots via public transport and is in a very safe and nice little neighbourhood. Staff were very helpful during…"
