Title,Text
"Great location, and freindly receptionists","Loved this place.  Really helpful advice from receptionists before travel, and then great location and good value.  Rooms clean and spacious.  Hotel has no restaurant or breakfast but loads of great coffee shops and places to eat nearby (and of course further afield).  Just…"
Very pleasant,"I wasn't expecting much when I booked a hotel in San Francisco for a hundred bucks  a night; but, in this instance I was pleasantly surprised.  The room is small.  Two people would find it a tight squeeze.  Simply furnished, no bedside lamps but ceiling lights.  Bed is small,…"
"Charming, cozy, amazing staff, good location","I stayed at the Metro 3 nights. Although I arrived early my room was ready so I got to check in. On my second day I switched rooms due to availability (this had already been planned) and so I lightly packed my things, left them in the 1st room, went exploring, and when I came…"
Cute budget accommodations,"I had a lovely stay at the Metro and would recommend it to those visiting San Francisco, with the caveat being it isn't your typical chain hotel.  Pros:  - clean - affordable - close to public transit - friendly, knowledgeable staff - some of the best food in town is on the same…"
"Charming, quirky & affordable make for a delightful visit","I stayed at The Metro for 3 nights in May 2018, choosing it largely because it was so affordable for San Francisco. Having stayed now, it’s clear this gem of a hotel is incredible value.  There was a lot to like about my stay, but the wonderful staff working at the hotel are…"
Back Home in San Francisco,"I used to live four blocks from this hotel. Its one of two hotels in the neighborhood. When I'm at the Metro I'm in a sense back home. The rooms are clean, the one I was in had just been updated. Each of the rooms in this hotel is a little different. This is a very nice hotel…"
A five star hotel without the fluffy BS,Fabulous. Clean. Modern. Helpful. Cheerful. Artistic and minimalist. Simple and yet full of just the right stuff. Everything you need is here. Everything you don’t need is not here. Perfect simplicity. So pleased.
A not-so hidden treasure,"I have been afraid to post this review, as I feel like this place is the best kept secret in SFO, and I want to keep it that way. But alas, they deserve to have it said that this the location, the price, and the staff of the Metro Hotel cannot be beat. Rooms are cozy, but have a…"
Super comfy and friendly,"This centrally-located hotel has some of the most comfortable beds I've experienced in a hotel, especially at this price level! In addition, there were two pillow types to choose from. The towels are thick and plush. I stayed on the top floor facing the street and was happy to…"
tiny hotel on the European model: very affordable for SF,"Well-located, clean hotel for exploring San Francisco, and unusually affordable for San Francisco. Small rooms and bathrooms. Really nice staff. Read the descriptions carefully -- they are accurate about how many people can stay in a room and what amenities each one has. The…"
Great urban refuge!,"Super cute, friendliest people every who work at and own the property, and extremely clean and peaceful rooms. I felt so comfortable here after long, hectic days and besides the hospitality, it's in a great neighborhood. Maybe a little small for families in one room, but…"
Small but suitable,"I have stayed here twice now after Burning Man. On both occasions I took a cheaper room as I was alone. The cheaper rooms are small with limited space and views.  My TV had no remote. I called reception but had no answer 4-5x, so I went down and asked them where it could be. The…"
Great experience,"Accommodations are simple, but comfortable and very clean. The location is great: easy to walk to parks, restaurants and other neighborhoods. The best part of my experience was taking the advice of the staff member who checked me in. She recommended a great place nearby for…"
Great place!,Great location and no frills makes this very affordable and surrounded by lots to do.  Angela was unbelievably helpful especially when it came to parking!  I look forward to staying again.  It was easy to find and has lots of great history and art work.
Memorial Day getaway,"This is a quaint, old-style hotel with few amenities, but it has the most important qualities, as far as I'm concerned.  The staff is friendly, my room was immaculate, and it was quiet, even though I chose a room facing Divisadero street.  The location could be a little better,…"
just overnight,"This is a gem of a place to stay. Nicely located with affordable prices. The bed was fantastic, very comfortable with a nice assortment of pillows to choose from. The front desk was great, helpful and friendly. I will definitely stay here again."
Welcoming and Great Value,This hotel makes you feel you have come home—all the staff are so friendly and welcoming. When you stay here you are staying in a neighborhood. You get to feel what it would be like to live here in this part of San Francisco. You do not feel like part of the tourist throng. The…
